楼主ID,评论者ID,话题内容,评论内容,评论者昵称,评论者性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,评论日期,评论时间,回复量,点赞量
2112592451,5915069040,驴友#九月你好##杭州亚运会# 九月你好祝大家新月吉祥 绍兴 ,新月安康,小云20150502,f,False,-1,0,24257,2548,1734,33,2023/09/01,2023/9/02,07:03:51,0,0
2112592451,7452109071,驴友#九月你好##杭州亚运会# 九月你好祝大家新月吉祥 绍兴 ,新月吉祥🙏,雨演眼中的世界,m,True,0,0,4959,963,7989,0,2023/09/01,2023/9/01,16:58:02,0,0
2112592451,5540005812,驴友#九月你好##杭州亚运会# 九月你好祝大家新月吉祥 绍兴 ,拜访支持！,泾陈,m,True,0,0,11476,218,548,9,2023/09/01,2023/9/02,01:56:55,0,0
5625254784,7479819710,KeSPA宣布：Khan、Zefa担任韩国亚运会英雄联盟项目分析师#Khan担任韩亚运会代表队分析师# #杭州亚运会# ,汉子哥！！！,幽幽幽幽哇,m,False,-1,0,2557,245,5,0,2023/09/01,2023/9/01,12:16:47,0,4
5625254784,5511480360,KeSPA宣布：Khan、Zefa担任韩国亚运会英雄联盟项目分析师#Khan担任韩亚运会代表队分析师# #杭州亚运会# ,金牌脸,比卡波-,m,False,-1,0,2299,1272,1389,30,2023/09/01,2023/9/01,16:13:04,0,0
5625254784,7818133083,KeSPA宣布：Khan、Zefa担任韩国亚运会英雄联盟项目分析师#Khan担任韩亚运会代表队分析师# #杭州亚运会# ,汉子哥,又是一年冬qaq,m,False,-1,0,13,111,4,0,2023/09/01,2023/9/01,18:34:46,0,0
5625254784,6887628326,KeSPA宣布：Khan、Zefa担任韩国亚运会英雄联盟项目分析师#Khan担任韩亚运会代表队分析师# #杭州亚运会# ,汉子哥是来给中国队加buff的吗,mentalsoft,m,False,-1,0,15,124,11,4,2023/09/01,2023/9/01,17:37:34,0,1
5625254784,6020702164,KeSPA宣布：Khan、Zefa担任韩国亚运会英雄联盟项目分析师#Khan担任韩亚运会代表队分析师# #杭州亚运会# ,好久不见啊汉子哥！,Garlic_Emeralds,f,False,-1,0,445,77,49,4,2023/09/01,2023/9/01,14:29:36,0,0
5625254784,6130818069,KeSPA宣布：Khan、Zefa担任韩国亚运会英雄联盟项目分析师#Khan担任韩亚运会代表队分析师# #杭州亚运会# ,冠军脸！！！！,幻妖之主,m,False,-1,0,8,39,5,4,2023/09/01,2023/9/01,13:00:57,0,0
5625254784,7396343037,KeSPA宣布：Khan、Zefa担任韩国亚运会英雄联盟项目分析师#Khan担任韩亚运会代表队分析师# #杭州亚运会# ,@义肢少年 汉子哥！,王以路啊,f,False,-1,0,1365,337,58,0,2023/09/01,2023/9/01,19:00:53,2,0
