话题链接,楼主ID,话题内容,楼主昵称,楼主性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,发布时间,转发量,评论量,点赞量
https://m.weibo.cn/detail/4941143895180426,2112592451,驴友#九月你好##杭州亚运会# 九月你好祝大家新月吉祥 绍兴 ,绍兴浩浩,m,true,0,0,24192,381,1681,29,2023/09/01,12:52:49,0,3,3
https://m.weibo.cn/detail/4941140149141533,6105576337,中国国家队加油！#杭州亚运会#,小胖不胖LSN,f,false,-1,0,2176,539,114,9,2023/09/01,12:37:55,0,0,0
https://m.weibo.cn/detail/4941139126518001,5560085111,汪顺期待九月#杭州亚运会# 的游泳大赛🏊🏻【每年可节水9万吨！#杭州亚运会游泳馆不用换水#】 #当亚运遇上杭州韵味# 目前，杭州奥体中心游泳馆里的热身池、比赛池、跳水池三个游泳池已按照国际赛事标准全部完成蓄水，蓄水量达一万吨，是名副其实的用水大户，但是现在却成为了亚运场馆中公认的“节水标杆”。接下来，我们一同跟随记者的镜头去看一看→via@央视网 央视网的微博视频,Steve专属的泳道,m,true,0,2,8767,161,19.2万,4,2023/09/01,12:33:51,0,0,7
https://m.weibo.cn/detail/4941136310831368,7720263674,KeSPA宣布：Khan、Zefa担任韩国亚运会英雄联盟项目分析师#Khan担任韩亚运会代表队分析师# #杭州亚运会# ,奥加电竞,f,true,7,50,45819,79,100.4万,0,2023/09/01,12:22:41,1856,655,5388
https://m.weibo.cn/detail/4941132431100124,6015603861,九月杭州亚运会，希望中国围棋国家队实现亚运会金牌🥇零的突破@TEAMCHINA中国国家队 @中国围棋协会 #体育# #围棋世界冠军# #亚运会# #杭州亚运会#,弈之山棋院,m,false,-1,0,1173,699,278,14,2023/09/01,12:07:16,0,0,0
https://m.weibo.cn/detail/4941131151311491,5625254784,KeSPA宣布：Khan、Zefa担任韩国亚运会英雄联盟项目分析师#Khan担任韩亚运会代表队分析师# #杭州亚运会# ,玩加电竞,f,true,0,1,169933,1106,838.6万,44,2023/09/01,12:02:11,0,18,83
https://m.weibo.cn/detail/4941130601858230,5987108147,9月份啦，9月份啦！大声告诉阿程9月份有什么大事要发生？没错！之前给大家卖了这么久的关子，我们的亚运活动终于来了！这次亚运会就在“浙”里举行，家门口的盛会无论场内场外，没有人是旁观者！所以准备好了吗，冠军？就算不在赛场，你也能圆梦亚运之旅！同程旅行联合长龙航空和潮新闻，为大家正式开启“亚运城市慢游计划”，3种亚运喷绘航班，6座亚运城市，几十家景区等你打卡更有大家熟悉特种兵报销环节回归！参与活动即有机会获得亚运赛事门票、亚运航班机票、亚运吉祥物玩偶、亚运6城景区门票，同程旅行往返机票、和千元国内酒店红包！万众一心迎盛会，超多大礼送不停！关注+带#亚运城市慢游计划# 转发微博立刻抽一位宝子体验9.13日起飞的亚运航班！✈️（亚运航班须知请见评论区~）助力亚运，我们是认真的~详情请关注@同程机票 、@潮新闻 、@浙江长龙航空 官方渠道。#杭州亚运会##亚运城市慢游计划##亚运航班# 抽奖详情,同程机票,f,true,2,50,10734,620,127.7万,36,2023/09/01,12:00:00,21115,229,108
https://m.weibo.cn/detail/4941130602645544,6086357399,【电科东信参与杭州亚运会紧急医学救援演练】近日，杭州亚运会赛事总指挥部医疗卫生指挥中心组织展开水、陆、空三位一体的大规模紧急医学救援演练，电科东信旗下东信股份应邀参与本次演练。#杭州亚运会##中国电科# 杭州亚运会 ,中国电科,m,true,1,0,1018,49,14.3万,4,2023/09/01,12:00:00,1,1,2
https://m.weibo.cn/detail/4941159626442378,5748392439,#杭州亚运会# 【杭州亚运会首张特殊标志许可合同备案通知书，来了！】杭州亚运会首张特殊标志许可合同备案通知书正式颁发！8月23日上午，国家知识产权局党组成员、副局长胡文辉带队对杭州亚运会知识产权保护进行工作考察，向浙江吉利控股集团有限公司颁发备案通知书，了解亚运特许商品生产销售情况，听取赛区场馆防范隐性营销、涉亚运违规内容处置和侵权线索移交等工作情况。,中国知识产权报,m,true,3,0,7007,146,2.7万,9,2023/09/01,13:55:20,1,1,0
https://m.weibo.cn/detail/4941157257711332,1589521771,科技深睡 蓄能夺冠亚运深睡保障计划大动作❗️顾家深睡舱入驻杭州亚运会主媒体中心MMC🎉保障各国媒体记者深睡全方位助力亚运赛事举办#深睡床垫就选顾家##杭州爆料##杭州亚运会#杭州2022年亚运会@顾家床垫 @顾家家居 #向往的生活# ,Braverwang,m,false,-1,0,2402,690,3.6万,36,2023/09/01,13:45:55,0,1,3
https://m.weibo.cn/detail/4941156540219901,2834968711,#吐槽吧大a# #杭州亚运会# #杭州亚运会倒计时30天# #鸿儒计划# 杭州亚运会对消费能有多大拉动？按照之前上海世博会和今年成都大运会的经验，召开重大赛事和活动，对举办地和周边地区的旅游、酒店、餐饮、零售均有较大的拉动作用。预计杭州亚运对江浙沪“包邮区”的拉动作用会十分显著。#透过财经看世界# #财经知识分享官# #视频星计划# #从壹出发# 蒋亦凡的微博视频,蒋亦凡,m,true,0,1,3929,686,70.7万,4,2023/09/01,13:43:03,9,10,90
https://m.weibo.cn/detail/4941155466481422,7331418189,南宋胡记 X 狮峰茶叶美味联合共赴宋韵雅事松风茗系列共有三款礼盒茗月松间、镜月松辉、松风和鸣茶和酥点的完美结合，送礼佳选点击选购你的心仪好礼：网页链接#杭州亚运会##南宋胡记中秋#中秋 ,南宋胡记,m,true,2,50,933,103,12.2万,0,2023/09/01,13:38:48,0,1,0
https://m.weibo.cn/detail/4941153763592708,7709784636,一诺xbc真的好想好想你啊#思念打包# 但是我会尽量克制的亚运会加油哦#杭州亚运会# ,大怪兽12260421,f,false,-1,0,47,35,9,0,2023/09/01,13:32:02,0,0,1
https://m.weibo.cn/detail/4941145999410229,5866669847,LOL#Khan担任韩亚运会代表队分析师# #杭州亚运会# #英雄联盟# KeSPA称，Khan、Zefa担任韩国亚运会英雄联盟项目分析师 ,田小鈺,f,true,0,0,1988,460,18.2万,5,2023/09/01,13:01:11,0,1,12
https://m.weibo.cn/detail/4941171731730601,7672944607,发布了头条文章：《2023年浙江省集成电路工程技术人员职业技能竞赛圆满收官！》 #芯片测试# #集成电路# #半导体# #技能竞赛# #杭州亚运会#  2023年浙江省集成电路工程技术人员职业技能竞赛圆满收官！ ,加速科技,m,true,2,50,103,89,93,0,2023/09/01,14:43:26,0,1,1
https://m.weibo.cn/detail/4941169178445604,2852485994,同亚运，共精彩！中国电信亚运大使 #叶诗文# ，邀您共赴 #杭州亚运会# 之约。 链接:网页链接 ,云彩1976_767,f,false,-1,0,1677,14,7,1,2023/09/01,14:33:17,0,1,0
https://m.weibo.cn/detail/4941167441217017,6095038350,吴少聪还在土耳其跟随青年联合训练和比赛 球队将在9月4日凌晨对阵科鲁姆中国足球广州队#留洋球员动态##杭州亚运会# ,莱斯特城的小狐狸,m,true,0,1,9230,2364,32.2万,9,2023/09/01,14:26:23,0,19,150
https://m.weibo.cn/detail/4941167152596618,2060657867,//@公益体彩:#杭州亚运会# 走进亚运场馆 聆听亚运故事 感受亚运氛围~ 杭州体彩“小候鸟”亚运场馆公益行圆满落幕！#公益体彩 乐善人生#,年十瑾,f,false,-1,0,998,48,6,2,2023/09/01,14:25:14,0,0,0
