话题链接,楼主ID,话题内容,楼主昵称,楼主性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,发布时间,转发量,评论量,点赞量
https://m.weibo.cn/detail/4896516085650300,2198263380,亚运手语小知识（五十五）杭州亚运轮滑馆#杭州亚运会#手语 手语姐姐的微博视频 ,手语姐姐,f,false,-1,0,5376,664,18.5万,39,2023/05/01,09:17:50,1,1,1
https://m.weibo.cn/detail/4896612583738643,1284012882,期待5-15 能中签刚好想去杭州#杭州亚运会# 东莞·广东医科大学(东莞校区) ,佰隆一号,m,true,2,-1,204,100,336,32,2023/05/01,15:41:17,0,1,0
https://m.weibo.cn/detail/4896651967471158,1436891042,#亚运一周# 丨4月24日-4月30日，过去这一周发生了这些亚运新鲜事儿！#杭州亚运会# 体坛报的微博视频 ,体坛报,f,true,3,0,17797,982,22.8万,44,2023/05/01,18:17:47,0,0,0
https://m.weibo.cn/detail/4896688680992924,1047071530,#杭州亚运会#喜欢抢票能和走路一样简单 ,sjsj_0726,f,false,-1,0,1458,341,119,14,2023/05/01,20:43:39,0,1,1
https://m.weibo.cn/detail/4896722990666000,7720263674,【PTT热议亚运LOL决赛在国庆：居然不是王者荣耀 输了不得原地退役】近日微信自媒体号《综合体育信息库》成根据杭州第19届亚洲运动会体育技术手册2.0，编写出了本届杭州亚运的具体赛程，根据该账号制作的详细日程表显示，国庆当天将分别举行《英雄联盟》、《DOTA2》项目的决赛，对此引发PTT网友们的热议。祖坟局结果韩国夺冠居然不是王者荣耀dota2也同一天啊dota没欧美一定稳了吧爆破局，为LPL选手感到难过太狠了，压力直接拉满要是在那天被韩国人在脸上夺冠 那画面太恐怖了没夺冠退役会被抓着黑吧。输了不得直接人没了？压力有够大...这还会有人想打吗如果输韩国那不敢想像会不会先输给PCS赛区，哈哈哈还没有韩国人帮 还要打五个韩国人，太难了吧赢了过国庆 输了原地退役#亚运会电竞赛程# #电竞亚运会# #杭州亚运会#,奥加电竞,f,true,7,50,46113,79,100.3万,0,2023/05/01,23:00:00,0,2,5
https://m.weibo.cn/detail/4896722990666000,7720263674,【PTT热议亚运LOL决赛在国庆：居然不是王者荣耀 输了不得原地退役】近日微信自媒体号《综合体育信息库》成根据杭州第19届亚洲运动会体育技术手册2.0，编写出了本届杭州亚运的具体赛程，根据该账号制作的详细日程表显示，国庆当天将分别举行《英雄联盟》、《DOTA2》项目的决赛，对此引发PTT网友们的热议。祖坟局结果韩国夺冠居然不是王者荣耀dota2也同一天啊dota没欧美一定稳了吧爆破局，为LPL选手感到难过太狠了，压力直接拉满要是在那天被韩国人在脸上夺冠 那画面太恐怖了没夺冠退役会被抓着黑吧。输了不得直接人没了？压力有够大...这还会有人想打吗如果输韩国那不敢想像会不会先输给PCS赛区，哈哈哈还没有韩国人帮 还要打五个韩国人，太难了吧赢了过国庆 输了原地退役#亚运会电竞赛程# #电竞亚运会# #杭州亚运会#,奥加电竞,f,true,7,50,46113,79,100.3万,0,2023/05/01,23:00:00,0,2,5
https://m.weibo.cn/detail/4896887365173866,5275370478,53在第53秒，想必在杭这两天吴粉地铁公交已经看好多了#杭州亚运会# ,听风吹起-,f,true,0,0,9984,215,1543,38,2023/05/02,09:53:10,0,1,1
https://m.weibo.cn/detail/4896884223904101,6982583857,#杭州亚运会# 杭州亚运会什么时候开票呀，在哪里看呀，想去看排球和乒乓球 ,努力呀大聪明,f,false,-1,0,1924,187,70,4,2023/05/02,09:40:41,0,1,0
https://m.weibo.cn/detail/4897047675670420,5014461458,#杭州亚运会# 谁懂。想去杭州看亚运会的欲望到达了顶峰！！呜呜呜。好想去现场看游泳比赛 ,小乘少八,f,false,-1,0,304,506,146,9,2023/05/02,20:30:11,0,1,2
https://m.weibo.cn/detail/4897077337266029,5129751781,#杭州亚运会# 啥时候放票啊 真的很想看乒乓球 ,不吃麻酱会鼠___-逃离竞体失败版,f,true,0,0,260,421,57,4,2023/05/02,22:28:03,0,1,0
