楼主ID,评论者ID,话题内容,评论内容,评论者昵称,评论者性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,评论日期,评论时间,回复量,点赞量
2636766700,7574296398,#排球微评# 2022年我的一个主要的愿望是，可以去现场观战#杭州亚运会# 排球比赛。听说调整了赛程，以避开世锦赛，明智之举。 上海 ,亚运会应该调整赛程   为世锦赛让路     中国女排这次世锦赛能取得第几名成绩呀,弗拉基米尔大公198405,m,False,-1,0,57,256,1,0,2022/01/01,2022/1/01,00:59:50,1,1
2636766700,1407260057,#排球微评# 2022年我的一个主要的愿望是，可以去现场观战#杭州亚运会# 排球比赛。听说调整了赛程，以避开世锦赛，明智之举。 上海 ,教练出来了吗？,枫子萧,m,False,-1,0,844,72,176,25,2022/01/01,2022/1/01,01:02:54,0,1
2636766700,7574296398,#排球微评# 2022年我的一个主要的愿望是，可以去现场观战#杭州亚运会# 排球比赛。听说调整了赛程，以避开世锦赛，明智之举。 上海 ,回复@林间小草yyyy 的表态:咱们女排实力  世锦赛打到能第几   男排实力    能打到第几    女排前6  男排前16行吗,弗拉基米尔大公198405,m,False,-1,0,57,256,1,0,2022/01/01,2022/1/01,09:13:13,0,0
2636766700,5124185457,#排球微评# 2022年我的一个主要的愿望是，可以去现场观战#杭州亚运会# 排球比赛。听说调整了赛程，以避开世锦赛，明智之举。 上海 ,想去现场看🙏,佩玖iris,f,False,-1,0,13994,172,104,14,2022/01/01,2022/1/01,01:00:48,0,1
2636766700,2432251422,#排球微评# 2022年我的一个主要的愿望是，可以去现场观战#杭州亚运会# 排球比赛。听说调整了赛程，以避开世锦赛，明智之举。 上海 ,太好了,渤黄燕太,m,False,-1,0,1614,359,394,32,2022/01/01,2022/1/01,07:23:28,0,0
2636766700,5584738209,#排球微评# 2022年我的一个主要的愿望是，可以去现场观战#杭州亚运会# 排球比赛。听说调整了赛程，以避开世锦赛，明智之举。 上海 ,去哪里买票,Haaaaaaaaak,m,True,0,0,3638,1891,2857,28,2022/01/01,2022/1/01,01:47:54,0,1
2636766700,5868064521,#排球微评# 2022年我的一个主要的愿望是，可以去现场观战#杭州亚运会# 排球比赛。听说调整了赛程，以避开世锦赛，明智之举。 上海 ,那确实好，,半边斜阳1993,m,False,-1,0,44,50,51,9,2022/01/01,2022/1/01,00:58:25,0,0
2636766700,5829652695,#排球微评# 2022年我的一个主要的愿望是，可以去现场观战#杭州亚运会# 排球比赛。听说调整了赛程，以避开世锦赛，明智之举。 上海 ,我的愿望也是！希望能去现场！而且世界女排联赛总决赛地点之前没出，现在听说在中国举办，在哪座城市未定，现在希望也能去看总决赛！,tresje,m,False,-1,0,57,64,1,0,2022/01/01,2022/1/01,03:45:26,0,0
2636766700,5733538019,#排球微评# 2022年我的一个主要的愿望是，可以去现场观战#杭州亚运会# 排球比赛。听说调整了赛程，以避开世锦赛，明智之举。 上海 ,metoo,西子阁青玫仙,f,False,-1,0,6716,5496,390,14,2022/01/01,2022/1/01,01:26:09,0,1
5337419869,5878659096,2022有你们足以一直在前进#杭州亚运会# ,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州亚运会,超话社区,m,True,7,0,22309,1124,2.4亿,39,2022/01/01,2022/1/01,12:06:12,0,0
6650515606,2876734377,今天，2022年的第一天，杭州这座充满活力的城市正式进入“2022亚运时间”。在辞旧迎新之际，“@2022·迎新年盼亚运”新年主题公益“亮灯”于钱江新城震撼启幕！将亚运精神汇聚至钱塘江畔2.3公里光影画卷，点燃了杭州亚运人对2022杭州亚运会决胜之年的信心与燃力！更书写了杭州亚运人内心最真挚的情感与祝福！#钱江新城灯光秀##元旦##杭州亚运会# 钱江新城灯光秀的微博视频,请问今天有灯光秀吗？,卡卡什么都不知,f,False,-1,0,524,102,85,14,2022/01/01,2022/2/11,12:52:56,0,0
6650515606,5126878916,今天，2022年的第一天，杭州这座充满活力的城市正式进入“2022亚运时间”。在辞旧迎新之际，“@2022·迎新年盼亚运”新年主题公益“亮灯”于钱江新城震撼启幕！将亚运精神汇聚至钱塘江畔2.3公里光影画卷，点燃了杭州亚运人对2022杭州亚运会决胜之年的信心与燃力！更书写了杭州亚运人内心最真挚的情感与祝福！#钱江新城灯光秀##元旦##杭州亚运会# 钱江新城灯光秀的微博视频,你好，请问现在灯光秀和音乐喷泉还在开放吗？时间是？,木樨筱梦,f,False,-1,0,508,23,42,9,2022/01/01,2022/1/11,22:18:32,0,0
6650515606,7183051813,今天，2022年的第一天，杭州这座充满活力的城市正式进入“2022亚运时间”。在辞旧迎新之际，“@2022·迎新年盼亚运”新年主题公益“亮灯”于钱江新城震撼启幕！将亚运精神汇聚至钱塘江畔2.3公里光影画卷，点燃了杭州亚运人对2022杭州亚运会决胜之年的信心与燃力！更书写了杭州亚运人内心最真挚的情感与祝福！#钱江新城灯光秀##元旦##杭州亚运会# 钱江新城灯光秀的微博视频,感觉这审美不如去年了,左漪久久二,f,False,-1,0,636,193,48,4,2022/01/01,2022/1/03,18:41:14,0,0
1312886617,5878659096,2022新年第一趴#杭州亚运会# 倒计时250天 ,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州亚运会,超话社区,m,True,7,0,22309,1124,2.4亿,39,2022/01/03,2022/1/03,16:59:22,0,0
1790694371,5878659096,杭州地铁迎亚运氛围渐浓 500余幅亚运灯箱广告亮相#杭州亚运会##潮涌# 舟山 ,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州亚运会,超话社区,m,True,7,0,22309,1124,2.4亿,39,2022/01/04,2022/1/04,07:22:53,0,0
1658958533,1410900713,龚俊代言361度的海报，打着杭州亚运会的标，实在是对不住有着国美和西泠印社的杭州。后面的字我能猜出来是把整首苏东坡《水调歌头》拆开再乱拼的。设计师如果不懂书法，就不要乱搞好不好？东方未来，请从尊重传统文化做起。#361度##杭州亚运会##书法# 广州 ,东方未来是他的艺名？。还是组合？。。俺一个明星都不认识。。,恶猫咪2000,m,False,220,0,45498,1816,1848,40,2022/01/05,2022/1/05,21:59:20,1,0
1658958533,1424740812,龚俊代言361度的海报，打着杭州亚运会的标，实在是对不住有着国美和西泠印社的杭州。后面的字我能猜出来是把整首苏东坡《水调歌头》拆开再乱拼的。设计师如果不懂书法，就不要乱搞好不好？东方未来，请从尊重传统文化做起。#361度##杭州亚运会##书法# 广州 ,设计师不懂书法，企业的企划广告人员也不懂。,dune1,m,False,-1,0,862,987,189,35,2022/01/05,2022/1/06,08:15:04,0,0
1658958533,1982215551,龚俊代言361度的海报，打着杭州亚运会的标，实在是对不住有着国美和西泠印社的杭州。后面的字我能猜出来是把整首苏东坡《水调歌头》拆开再乱拼的。设计师如果不懂书法，就不要乱搞好不好？东方未来，请从尊重传统文化做起。#361度##杭州亚运会##书法# 广州 ,这画面太乱了啊,吃橙子的野兔,m,False,-1,0,8800,1193,213,40,2022/01/05,2022/1/05,22:22:43,0,0
1658958533,6112404794,龚俊代言361度的海报，打着杭州亚运会的标，实在是对不住有着国美和西泠印社的杭州。后面的字我能猜出来是把整首苏东坡《水调歌头》拆开再乱拼的。设计师如果不懂书法，就不要乱搞好不好？东方未来，请从尊重传统文化做起。#361度##杭州亚运会##书法# 广州 ,用回别克logo了？,冬子runner,m,False,-1,0,80,118,22,0,2022/01/05,2022/1/06,00:19:28,0,1
2374751224,5509773979,🏃🏻领跑亚运 皇派·永远向前📣花样游泳运动员蒋文文&amp;蒋婷婷为皇派门窗送祝福，一起为所有中国健儿喝彩，为2022年#杭州亚运会# 打call。#皇派门窗杭州亚运会官方指定门窗##皇派门窗高端隔音门窗# 皇派门窗的微博视频 ,加油加油,安徽永盛-栢景门窗,f,False,-1,0,885,186,1158,0,2022/01/05,2022/1/06,08:13:12,0,0
