楼主ID,评论者ID,话题内容,评论内容,评论者昵称,评论者性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,评论日期,评论时间,回复量,点赞量
3020230733,3267622363,//@北马青少: 中国马术队加油！#杭州亚运会#   #杭州亚运会#,//@北京马术协会: //@北马青少: 中国马术队加油！#杭州亚运会#   #杭州亚运会#,北京马术文化节,m,True,3,0,1508,86,854,8,2022/02/03,2022/2/03,10:20:36,0,0
5667942456,3020230733,中国马术队加油！#杭州亚运会#  杭州2022年亚运会,//@北马青少: 中国马术队加油！#杭州亚运会#   #杭州亚运会#,北京马术协会,m,True,7,0,3251,155,5330,27,2022/02/03,2022/2/03,10:20:17,0,0
5579529154,2966965427,买不到冰墩墩，我现在就买杭州亚运会，卷死你们😡#杭州亚运会##北京2022年冬奥会# 海口 ,刚刚逛了下店铺，发现徽章都卖完下架了,Happy_TyongF,f,False,-1,0,3384,336,77,40,2022/02/04,2022/2/05,23:14:07,0,1
5579529154,5878659096,买不到冰墩墩，我现在就买杭州亚运会，卷死你们😡#杭州亚运会##北京2022年冬奥会# 海口 ,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州亚运会,超话社区,m,True,7,0,22309,1124,2.4亿,39,2022/02/04,2022/2/04,11:23:58,0,0
5579529154,3856427832,买不到冰墩墩，我现在就买杭州亚运会，卷死你们😡#杭州亚运会##北京2022年冬奥会# 海口 ,哈哈哈哈哈哈哈哈哈哈哈哈哈,april-nannan,f,False,-1,0,1545,62,95,14,2022/02/04,2022/2/07,00:31:13,0,0
5579529154,6537545736,买不到冰墩墩，我现在就买杭州亚运会，卷死你们😡#杭州亚运会##北京2022年冬奥会# 海口 ,哈哈哈 笑死,啵粥粥,f,False,-1,0,420,3225,72,4,2022/02/04,2022/2/06,00:38:15,0,0
5705247273,5878659096,#杭州亚运会# 在浙江的念想又多了一个，好想去现场看东打球 ,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州亚运会,超话社区,m,True,7,0,22309,1124,2.4亿,39,2022/02/05,2022/2/05,00:01:50,0,0
2920901490,6537798882,#杭州亚运会# 按照冰墩墩这个趋势，我预计一下杭州亚运会周边也会🔥，要不要囤点 ,看了一眼淘宝，已经没货了,AnHuan欢,f,True,0,0,315,265,657,4,2022/02/05,2022/2/05,19:46:58,0,0
2920901490,5878659096,#杭州亚运会# 按照冰墩墩这个趋势，我预计一下杭州亚运会周边也会🔥，要不要囤点 ,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州亚运会,超话社区,m,True,7,0,22309,1124,2.4亿,39,2022/02/05,2022/2/05,02:19:39,0,0
3987686931,6898257344,聪明人已经卷起来了#杭州亚运会# ,我还在收绝版眼影更卷,鹿鹿杏仁露鸭,f,False,-1,0,42,16,6,4,2022/02/05,2022/2/05,19:04:16,3,1
5661415244,5822615312,杭州人激动亚运了#杭州亚运会# ,这在哪里买啊,我好想要逃避一下,f,False,-1,0,5150,1697,374,12,2022/02/06,2022/2/06,20:14:53,2,0
5661415244,5661415244,杭州人激动亚运了#杭州亚运会# ,没有抢到冰墩墩所以我激情购入亚运徽章,小川木子_,f,False,-1,0,231,2373,486,19,2022/02/06,2022/2/06,20:08:05,1,0
5661415244,5272228230,杭州人激动亚运了#杭州亚运会# ,姐妹在杭州嘛？可以帮忙买徽章嘛？,草莓你个巧克力,f,False,-1,0,165,730,217,28,2022/02/06,2022/2/06,20:15:06,2,0
6347803658,6291330459,#张艺兴[超话]# 谁能抵挡一个叫莲莲的吉祥物啊#杭州亚运会# ,,Fionsuid,f,False,-1,0,45,90,4,4,2022/02/07,2022/2/07,19:20:06,0,0
6347803658,7015485924,#张艺兴[超话]# 谁能抵挡一个叫莲莲的吉祥物啊#杭州亚运会# ,太可爱啦！,爱兴小努力x,f,False,-1,0,23619,214,151,9,2022/02/07,2022/2/07,09:44:39,0,0
6347803658,5078633835,#张艺兴[超话]# 谁能抵挡一个叫莲莲的吉祥物啊#杭州亚运会# ,kkkkk的确大家都在内卷 我一看名字叫莲莲就想要了,-海盐量贩錄-,f,True,0,0,67928,1224,681,40,2022/02/07,2022/2/08,14:49:44,0,0
