话题链接,楼主ID,话题内容,楼主昵称,楼主性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,发布时间,转发量,评论量,点赞量
https://m.weibo.cn/detail/4904937115359469,1647688972,DOTA国 家 集训队 名单 杭州亚运会 电子 竞技 刀塔 项目 国家 集训队 候选 人员 名单 正式 出炉 第十九 届 杭州亚运会 电子 竞技 项目 国家 集训队 参赛 人员 推荐 相关 说明 要求 综合 考虑 以上 项目 教练员 运动员 近期 国际 大赛 表现 国内 联赛 成绩 综合 职业 素养 参赛 意愿 讨论 审核 报 杭州亚运会 电子 竞技 项目 选拔 工作 领导 小组 备案 后 择优 推荐 杭州亚运会 电子 竞技 刀塔 项目 国家 集训队 候选 人员 名单 下现 名单 进行 公示 杭州亚运会 电子 竞技 项目 国家 集训队 候选 人员 推荐 名单 确认 后 相关 人员 陆续 参与 杭州亚运会 集训 工作 dota,环球人物杂志,m,True,3,0,39468,118,919.2万,48,2023/05/24,15:00:00,0,0,4
https://m.weibo.cn/detail/4904937115359469,1647688972,DOTA国 家 集训队 名单 杭州亚运会 电子 竞技 刀塔 项目 国家 集训队 候选 人员 名单 正式 出炉 第十九 届 杭州亚运会 电子 竞技 项目 国家 集训队 参赛 人员 推荐 相关 说明 要求 综合 考虑 以上 项目 教练员 运动员 近期 国际 大赛 表现 国内 联赛 成绩 综合 职业 素养 参赛 意愿 讨论 审核 报 杭州亚运会 电子 竞技 项目 选拔 工作 领导 小组 备案 后 择优 推荐 杭州亚运会 电子 竞技 刀塔 项目 国家 集训队 候选 人员 名单 下现 名单 进行 公示 杭州亚运会 电子 竞技 项目 国家 集训队 候选 人员 推荐 名单 确认 后 相关 人员 陆续 参与 杭州亚运会 集训 工作 dota,环球人物杂志,m,True,3,0,39468,118,919.2万,48,2023/05/24,15:00:00,0,0,4
https://m.weibo.cn/detail/4912471669999803,3173633817,直播 权威 发布国 新 办 举行 杭州亚运会 亚 残运会 筹办 情况 新闻 发布会 TheStateCouncilInformationO fficeholdsapressconferenceonpreparation sfortheHang zhouAsianGamesand AsianParaGamesCGTN 直播 直观 世界 CGTN 微博 视频,CGTN,m,True,3,0,90675,138,606.9万,48,2023/06/14,09:59:38,0,0,11
https://m.weibo.cn/detail/4912542168908884,2345597047,倒计时天 杭州亚运会 场馆 准备 就绪 中国 代表团 派 名 运动员 参赛 杭州亚运会 杭州亚运会 火种 采集 仪式 良渚 古城 遗址 举行 小康 杂志社 微博 视频,中国小康网,m,True,3,50,36857,1358,15.4万,41,2023/06/14,14:39:46,0,0,0
https://m.weibo.cn/detail/4912542038623954,1668299323,倒计时天 杭州亚运会 场馆 准备 就绪 中国 代表团 派 名 运动员 参赛 杭州亚运会 杭州亚运会 火种 采集 仪式 良渚 古城 遗址 举行 小康 杂志社 微博 视频,小康杂志社,m,True,3,0,34395,1604,137.6万,43,2023/06/14,14:39:15,0,0,0
https://m.weibo.cn/detail/4912570782453538,2345597047,杭州亚运会 倒计时 天 小时 融媒 大直 播月 日 杭州亚运会 迎 倒计时天 重要 时刻 中国 蓝 新闻 共同 见证 亚运会 火种 采集 仪式 沉浸式 探营 亚运场馆 云赏 亚运灯 光秀 关注 亚运 奖牌 亚运歌曲 系列 重磅 内容 发布 充分 营造 亚运 氛围 世界 展示 风雅 睿智 杭州 蓬勃 自信 浙江 更加 开放 包容 中国 杭州亚运会 小康 杂志社 微博 直播 杭州亚运会 倒计时 天,中国小康网,m,True,3,50,36857,1358,15.4万,41,2023/06/14,16:33:28,0,0,0
https://m.weibo.cn/detail/4912570722944067,1668299323,杭州亚运会 倒计时 天 小时 融媒 大直 播月 日 杭州亚运会 迎 倒计时天 重要 时刻 中国 蓝 新闻 共同 见证 亚运会 火种 采集 仪式 沉浸式 探营 亚运场馆 云赏 亚运灯 光秀 关注 亚运 奖牌 亚运歌曲 系列 重磅 内容 发布 充分 营造 亚运 氛围 世界 展示 风雅 睿智 杭州 蓬勃 自信 浙江 更加 开放 包容 中国 杭州亚运会 小康 杂志社 微博 直播 杭州亚运会 倒计时 天,小康杂志社,m,True,3,0,34395,1604,137.6万,43,2023/06/14,16:33:14,0,0,1
https://m.weibo.cn/detail/4912811925050713,3173633817,直播 杭州亚运会 火种 采集 仪式 良渚 古城 遗址 举行 The AsianGamesflameislitattheArchaeologicalRuins ofLiang zhuCitytobeginthedaycountdowntotheHang zhouAsianGamesCGTN 直播 直观 世界 CGTN 微博 视频,CGTN,m,True,3,0,90675,138,606.9万,48,2023/06/15,08:31:41,2,2,16
https://m.weibo.cn/detail/4912841586644023,3173633817,直播 走 进 桐庐 马术 中心 探访 杭州亚运会 马术 赛事 场地 TheTongluEquestrianCenterwillhostdressageobstaclecourseandtriathlonevent swithathletesandhorsesfrommorethancountriesduringthethHang zhouAsianGames 直观 世界 CGTN 微博 视频,CGTN,m,True,3,0,90675,138,606.9万,48,2023/06/15,10:29:33,2,1,8
https://m.weibo.cn/detail/4912856812752072,5608027665,亚运会 倒计时 天丨 杭州亚运会 添 绿 比赛 场馆 训练场馆 亚运村 亚运分村 采用 绿色 材料 绿色 施工 平赛 结合 馆 多元 方式 全面 践行 绿色 低 碳 办赛 理念 记者 近日 走 进 中国 杭州 电竞 中心 拱墅 运河 体育 公园 看 看 亚运会 添 绿 杭州 迎 亚运 风光片 亚运 倒计时 天丨 杭州亚运会 添 绿,中国环境,m,True,3,0,53422,670,101.3万,44,2023/06/15,11:30:03,3,0,2
https://m.weibo.cn/detail/4912864420430038,5608027665,亚运会 倒计时 天丨无废 亚运 饭店 小细 节处 做 大 文章 据悉 杭州 目前 已 建成 无废 亚运 饭店 家 记者 近日 家 宝盛 宾馆 实地 探访 家 宾馆 无废 方面 实招 杭州 迎 亚运 风光片 杭州亚运会 亚运 倒计时 天丨无废 亚运 饭店 小细 节处 做 大 文章,中国环境,m,True,3,0,53422,670,101.3万,44,2023/06/15,12:00:16,2,0,3
https://m.weibo.cn/detail/4912894548119744,3173633817,杭州亚运会 火种 良渚 古城 遗址 成功 采集 今天 杭州亚运会 天倒 计时 亚运会 火种 采集 仪式 杭州 良渚 古城 遗址 公园 举行 良渚 古城 遗址 年 列入 世界 遗产 名录 实证 中华 五千 年 文明史 圣地 文明 光 点燃 亚运 火 更 好 展现 中国 深厚 历史 文化底蕴 天 后 相约 杭州 共 赴 亚运 约 The AsianGamesflamewaslitattheArchaeologicalRuins ofLiang zhuCityinHang zhouCityeastChinasZhejiangProvinceonT hursdayasthedaycountdowntotheHang zhouAsianGamesbegan,CGTN,m,True,3,0,90675,138,606.9万,48,2023/06/15,14:00:00,2,3,22
https://m.weibo.cn/detail/4912894548119744,3173633817,杭州亚运会 火种 良渚 古城 遗址 成功 采集 今天 杭州亚运会 天倒 计时 亚运会 火种 采集 仪式 杭州 良渚 古城 遗址 公园 举行 良渚 古城 遗址 年 列入 世界 遗产 名录 实证 中华 五千 年 文明史 圣地 文明 光 点燃 亚运 火 更 好 展现 中国 深厚 历史 文化底蕴 天 后 相约 杭州 共 赴 亚运 约 The AsianGamesflamewaslitattheArchaeologicalRuins ofLiang zhuCityinHang zhouCityeastChinasZhejiangProvinceonT hursdayasthedaycountdowntotheHang zhouAsianGamesbegan,CGTN,m,True,3,0,90675,138,606.9万,48,2023/06/15,14:00:00,2,3,22
https://m.weibo.cn/detail/4912937335259209,3275115274,杭州亚运会 杭州亚运会 倒计时天 亚运会 氛围 感拉 满 吉林 运动员 有望 创造 佳绩 月 日 杭州 第届 亚运会 进入 天倒 计时 当前 中国 体育 健儿 正 厉兵秣马 全力 冲刺 期待 亚洲 最高 竞技 舞台 上 展现 风采 国 争光 巴黎 奥运会 做 好 阶段性 备战 工作 目前 国家 体育 总局 正 开展 中国 体育 代表团 组团 工作 届时 名 代表 中国 最高 水平 运动员 参赛 亚洲 各国 家 地区 运动员 同场竞技 杭州亚运会 中国 体育 健儿 主场 备战 巴黎 奥运会 阶段性 检验 全力 争创 佳绩 展现 良好 风貌 夺取 运动 成绩 精神文明 双 丰收 图片 源 视觉 中国 网页链 接,中国吉林网,f,True,3,0,199374,2777,252.2万,46,2023/06/15,16:50:00,0,0,0
https://m.weibo.cn/detail/4912973535252553,3173633817,直播 杭州亚运会 天倒 计时 主题 活动 ThethAsianGamesissettoopenindays andHang zhouhostsacommemorativeceremonyont hisdayattheHang zhouEsportsCenterDuringtheceremonythethemesong andmedaldesignforthe AsianGamesareunveiledStaytunedformore直观 世界 CGTN 微博 视频,CGTN,m,True,3,0,90675,138,606.9万,48,2023/06/15,19:13:52,4,0,9
https://m.weibo.cn/detail/4913023783536777,3173633817,杭州亚运会 奖牌 正式 发布 今天 杭州亚运会 天倒 计时 主题 活动 上 杭州亚运会 奖牌 正式 亮相 奖牌 取名 湖山 设计 灵感 源自 五千 年 良渚 文明 亚运 文化 美学 重要 表达 中式 美学 别样 诠释 奖牌 形状 取 良渚 文化 中 礼器 玉琮 方形 玉琮 圆形 奖章 巧妙 融合 别具一格 奖牌 正面 凸出 线条 勾勒 出 三 面 云 山 一面 城 杭城 画卷 背面 形似 方形 印章 寓意 运动员 杭州亚运会 上 留下 美好 印记 湖山 表达 杭州 生态 文明 都 气质 展现 勇攀高峰 体育 精神 天 后 相约 杭州 Themedal ofthethAsianGamesnamedquotShanShuiquotwasunveiledonT hursdayasthedaycountdowntotheHang zhouAsianGamesbeganquotShanShuiquotcharacterizedbyjadecongintheLiang zhucultureintegratesthesquarejadewithroundmedalwhichmakesituniqueandrecognizableThedesignpresent sthenaturalbeautyofHang zhouandalsoexpressesthesportsmanshipofachievingnewheightsthroughhardworkandselfchallenge,CGTN,m,True,3,0,90675,138,606.9万,48,2023/06/15,22:33:32,2,2,11
https://m.weibo.cn/detail/4913181304032605,1936119834,骄傲 杭州亚运会 火种 领采者 河北 姑娘 月日 上午 杭州亚运会 火种 成功 采集 河北 沧州 浙江 传媒 学院 学生 王呈鹭 手 持 采火棒 走向 采火 装置 成功 点燃 采火 棒 接受 采访 时 说 希望 伙伴 采集 亚运 火种 能够 点燃 激情 传递 友谊 河北 姑娘点 赞 河北 长城网 微博 视频,河北长城网,m,True,3,0,145857,2398,600.7万,46,2023/06/16,08:59:28,7,9,75
https://m.weibo.cn/detail/4913184336514027,1936119834,杭州亚运会 火种 领采者 河北 姑娘 王呈鹭 成为 采火 使者 激动 自豪 月日 上午 杭州亚运会 火种 成功 采集 河北 沧州 浙江 传媒 学院 学生 王呈鹭 火种 领采者 成功 点燃 采火棒,河北长城网,m,True,3,0,145857,2398,600.7万,46,2023/06/16,09:11:31,5,3,2
https://m.weibo.cn/detail/4913197314215053,3173633817,直播 杭州 亚运村 内 景首 亮相 一起 感受 亚运 魅力 ThethAsianGamesinHang zhouislessthandaysawayFollowusinsidetheHang zhouAsianGamesvillagetocheckouttheroomsfitnessmedical anddiningfacilitiesforthegames 杭州亚运会 亚运会 直观 世界 CGTN 直播 CGTN 微博 视频,CGTN,m,True,3,0,90675,138,606.9万,48,2023/06/16,10:03:05,1,0,5
https://m.weibo.cn/detail/4913747669552826,3173633817,探秘 杭州 亚运村 月 日 杭州 亚运村 内部 功能区 首次 对外 公开 杭州 亚运村 总 面积 万 平方米 杭州亚运会 最 大 非 竞赛 场馆 杭州 亚运村 运动员 村 技术 官员 村 媒体 村 三 村 合并 运营 功能 齐全 设计 独具 杭州 韵味 本月 亚运村 迎 首 批 入 住 测试赛 运动员 亚运会 TheHang zhouAsianGamesVillageopenedtothemediaonFridayItisthelargestnoncompetitionvenueoftheeventwithatotalareaofs quarekilometersandafloorspaceofmillions quaremeters,CGTN,m,True,3,0,90676,138,606.9万,48,2023/06/17,22:30:00,1,0,8
https://m.weibo.cn/detail/4916201337129420,2127460165,最忆 西湖 苏堤 春晓 断桥 残雪雷峰 夕照 曲院 风荷 杭州 西湖 申遗 成功 周年 暨 第个 杭州 西湖日 云赏 西湖 期待 杭州亚运会 人民日报 微博 视频 视界 创作者 爱 拍照 徐 同学,中国日报网,m,True,3,0,96598,224,861.9万,45,2023/06/24,17:00:00,0,1,4
https://m.weibo.cn/detail/4916201337129420,2127460165,最忆 西湖 苏堤 春晓 断桥 残雪雷峰 夕照 曲院 风荷 杭州 西湖 申遗 成功 周年 暨 第个 杭州 西湖日 云赏 西湖 期待 杭州亚运会 人民日报 微博 视频 视界 创作者 爱 拍照 徐 同学,中国日报网,m,True,3,0,96598,224,861.9万,45,2023/06/24,17:00:00,0,1,4
https://m.weibo.cn/detail/4930988909527364,3173633817,直播 杭州亚运会 复兴号 亚运智 能动 车组 今日 亮相 TheintelligentbullettrainspeciallydesignedfortheupcomingHang zhouAsianGameswelcomesitsfirstoperatingdayFollowCGTNtoseewhatnewtechthisnewAsianGamesthemedtrainhasequippedCGTN 直播 CGTN 微博 视频,CGTN,m,True,3,0,90645,138,606.9万,48,2023/08/04,12:20:31,5,1,15
https://m.weibo.cn/detail/4933257386525535,1927786044,名单 收 好 亚运 福利 景区 公园 免 门票 好 消息 浙江省 林业局 组织 名山 公园 风景 名胜区 湿地 公园 重要 湿地 森林 公园 国有 林场 单位 开展 跟着 亚运 走 进 森林 浙江 系列 活动 面向 社会 提供 免门票 门票 减免 门票 服务 更 详情 一起 看 源 杭州 发布 编辑 杨硕 亚运会 杭州亚运会,中国旅游报,f,True,3,0,28139,1661,40万,47,2023/08/10,18:34:39,0,0,0
https://m.weibo.cn/detail/4934573739737472,3515639462,今日 时 杭州亚运会 项目 门票 开售 杭州亚运会 杭州 第届 亚运会 体育 比赛 实时 销售 阶段 月日 今日 开启 杭州亚运会 开票 批 体育 比赛 项目 门票 今日 时 启动 销售 本次 上架 售票 场次 具体 项目 月日 足球 拳击 柔道 柔术克 柔术 摔跤 武术 跆拳道 板球 蹦床 高尔夫球 滑板 卡巴迪 空手道 龙舟 软式 网球 网球赛 艇皮 划艇 静水 皮划艇 激流 回 旋月 日日 电子 竞技 报名 抽签 项目 更 详情 网页链 接 杭州 第届 亚运会 组委会,科技日报,f,True,3,0,56532,491,134.7万,39,2023/08/14,09:45:22,0,0,0
https://m.weibo.cn/detail/4934666446444420,2105171747,杭州亚运会 亚运会 亚运会 门票 杭州亚运会 项目 门票 开售 杭州 第届 亚运会 体育 比赛 实时 销售 阶段 月日 今日 开启 批 体育 比赛 项目 门票 今日 时 启动 销售 黄河 新闻网 微博 视频,黄河新闻网,m,True,3,0,42711,203,52.6万,41,2023/08/14,15:53:45,0,1,1
