楼主ID,评论者ID,话题内容,评论内容,评论者昵称,评论者性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,评论日期,评论时间,回复量,点赞量
5625254784,5899623527,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,这么快就定了吗？我记得10月才开始亚运会的,LXT1229,m,False,-1,0,31,523,203,9,2023/04/16,2023/4/16,17:57:25,7,0
5625254784,6413804298,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,如果只看春季赛的话 369和左手 elk 打野jiejie 辅助应该是meiko？,尖酸的伪都凶鱼,f,False,-1,0,70,96,51,4,2023/04/16,2023/4/16,17:46:25,11,5
5625254784,6869223772,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,369   xun/jiejie    knight/yagao  elk/Leave  missing/on,徒留沉默,m,False,-1,0,16,305,6,4,2023/04/16,2023/4/16,20:11:56,12,0
5625254784,6158156808,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,369  jiejie  knight  elk  missing,青鸟派对,m,False,-1,0,75,441,193,9,2023/04/16,2023/4/16,23:42:22,2,8
5625254784,5674207036,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,那夏季赛得加快速度了。,梦里北风起,m,False,-1,0,1236,697,1,31,2023/04/16,2023/4/16,17:44:25,0,11
5625254784,5193767097,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,他跪了没,NanaMi_Sang,m,False,-1,0,188,324,50,14,2023/04/16,2023/4/16,21:45:32,1,1
5625254784,6404886353,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,夏季赛不再看看，这么快就定了,符号几何规划,m,False,-1,0,8,268,2,4,2023/04/16,2023/4/16,17:56:54,1,7
5625254784,7374757429,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,369，jiejie，knight，elk，meiko,YeJinHands,m,False,-1,0,164,102,19,0,2023/04/16,2023/4/17,00:16:36,0,4
5625254784,5382686271,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,亚运会东亚预选赛啥时候开始,看不见光的人798,m,False,-1,0,128,378,82,8,2023/04/16,2023/4/16,18:45:16,0,1
5625254784,5651700242,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,大名单应该是每个位置两到三个人，集训的时候交叉组排看效果再选出来最终的名单吧,永远的m87,m,False,-1,0,200,66,43,4,2023/04/16,2023/4/16,18:48:37,0,2
5625254784,1724694542,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,亚运的大飞想想都兴奋,我叫狐狸吖吖吖,m,False,-1,0,201,209,11,29,2023/04/16,2023/4/16,22:15:43,0,0
5625254784,7609197210,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,感觉应该是在之前就已定下来了,殊途同归aa,m,False,-1,0,2218,223,11,0,2023/04/16,2023/4/16,20:37:32,0,0
5625254784,7459758432,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,369 bin jiejie xun knight yagao elk able missing meiko,书禹616,m,False,-1,0,36,565,1,0,2023/04/16,2023/4/16,18:45:39,0,0
5625254784,7502241896,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,这个by的一句话都不能信,小唐人庄顺飞,m,False,-1,0,18,126,1,0,2023/04/16,2023/4/16,20:15:52,0,0
5625254784,5899623527,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,这么快就定了吗？我记得10月才开始亚运会的,LXT1229,m,False,-1,0,31,523,203,9,2023/04/16,2023/4/16,17:57:25,7,0
1963655353,5878659096,喜迎亚运，毅起走运#运河文化广场##西湖文化广场##杭州亚运会# ,你好，你感兴趣的“运河文化广场”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 运河文化广场,超话社区,m,True,7,0,22591,1161,2.4亿,39,2023/04/16,2023/4/16,18:30:14,0,0
1999344754,5878659096,#杭州亚运会# 还有159天 杭州·黄龙体育中心 ,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州2022年亚运会,超话社区,m,True,7,0,22591,1161,2.4亿,39,2023/04/16,2023/4/16,20:57:22,0,0
