楼主ID,评论者ID,话题内容,评论内容,评论者昵称,评论者性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,评论日期,评论时间,回复量,点赞量
6858261438,1864461077,汪顺#不平凡的九月# #顺流而上# #杭州亚运会# 加油！,加油,winnie阿咕,f,True,0,0,2254,340,378,27,2023/09/02,2023/9/02,00:49:42,1,1
5869429642,6876322770,#杭州亚运会# 加油中国女垒～明天就先行一步啦 ,加油宝,凶猛脆脆白鲨,f,False,-1,0,113,136,103,4,2023/09/02,2023/9/02,00:46:03,1,0
5869429642,2147849190,#杭州亚运会# 加油中国女垒～明天就先行一步啦 ,加油加油,紫晓悦要快乐就行,f,False,-1,0,1098,281,750,33,2023/09/02,2023/9/02,08:08:14,1,0
3311187151,5878659096,#杭州亚运会# 几乎随处可见的杭州第19届亚运会标准，真好！#骑行# 杭州·龙坞茶园 ,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州2022年亚运会,超话社区,m,True,7,0,22426,1140,2.4亿,39,2023/09/02,2023/9/02,00:30:45,0,0
5736215511,5878659096,#亚运会##杭州亚运会# 买了个杭州亚运会吉祥物莲莲钥匙扣，书画动影范樱。#拍摄# 杭州·祥符 ,你好，你感兴趣的“亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 亚运会,超话社区,m,True,7,0,22426,1140,2.4亿,39,2023/09/02,2023/9/02,05:55:55,0,0
1935970653,3835330893,#杭州亚运会# 广告费太吓人了，真是贫穷限制想象，单位购买央妈广告宣传，付个赞助费的尾款竟然都好几百万。这尼玛要是换算成整个合同估计好几千万的广告费。 ,妈呀 好单位,懒懒的龙卷风,m,False,-1,0,1627,1146,135,9,2023/09/02,2023/9/02,09:40:06,5,0
5900008118,5803280883,#每天早起打卡##杭州亚运会# 大家早上好！周末愉快！ ,老师中午好,春雨19691113,m,False,-1,0,7105,16,114,4,2023/09/02,2023/9/02,12:44:46,0,0
5900008118,5581485357,#每天早起打卡##杭州亚运会# 大家早上好！周末愉快！ ,早,十桔九胖,m,False,-1,0,1558,20,97,5,2023/09/02,2023/9/02,09:27:52,0,0
5900008118,2638844272,#每天早起打卡##杭州亚运会# 大家早上好！周末愉快！ ,打卡,WB狮子座,m,False,-1,0,4567,206,96,9,2023/09/02,2023/9/02,08:59:36,0,0
5900008118,6212635967,#每天早起打卡##杭州亚运会# 大家早上好！周末愉快！ ,,红尘客好运连连,m,False,-1,0,3783,105,113,4,2023/09/02,2023/9/02,08:21:18,0,0
5900008118,2635912753,#每天早起打卡##杭州亚运会# 大家早上好！周末愉快！ ,老师早,涨了就不停,m,False,-1,0,9242,67,322,22,2023/09/02,2023/9/02,07:05:47,0,0
5900008118,1744894125,#每天早起打卡##杭州亚运会# 大家早上好！周末愉快！ ,周末好,依云_468,f,False,-1,0,1345,99,456,35,2023/09/02,2023/9/02,14:42:47,0,1
5900008118,7722778993,#每天早起打卡##杭州亚运会# 大家早上好！周末愉快！ ,早,乖乖21025,m,False,-1,0,1,191,3,0,2023/09/02,2023/9/02,09:39:59,0,0
5900008118,7833830759,#每天早起打卡##杭州亚运会# 大家早上好！周末愉快！ ,,B000166,m,False,-1,0,64,59,6,0,2023/09/02,2023/9/02,07:50:23,0,0
3888237550,5878659096,#杭州亚运会# 倒计时21天#杭州亚运会官方供应商GIOVANNI VALENTINO# 型动亚运 优雅相伴 ,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州2022年亚运会,超话社区,m,True,7,0,22426,1140,2.4亿,39,2023/09/02,2023/9/02,08:30:00,0,0
3318861733,5878659096,现在外面的世界已经发展成这样了？杭州开启加速进化模式~ #杭州亚运会# 宁波 子轩健康管理工作室的微博视频 ,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州2022年亚运会,超话社区,m,True,7,0,22426,1140,2.4亿,39,2023/09/02,2023/9/02,09:54:31,0,0
1445017422,5878659096,#杭州亚运会# 倒计时21天，西湖边的寻常周末，慢悠悠的五公里，遇见：武校少年在操练，会生活的人自带“湖景房” 杭州·西湖风景名胜区 ,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州2022年亚运会,超话社区,m,True,7,0,22426,1140,2.4亿,39,2023/09/02,2023/9/02,09:32:56,0,0
1437108724,5514650325,啊？这么拼吗？内测杭州第19届亚运会主媒体中心。说是亚运会最重要的非竞赛场馆一点也不为过，因为这里是本届亚运会媒体记者的大本营，新闻信息的总枢纽，56个场馆的视频信号都要汇集到这里再传播给大家。#你甚至能在亚运会媒体中心里体验推拿##杭州亚运会# 所长比八卜的微博视频 ,？你昨天也在？？？？我就在媒体中心馆子外面逛街,Inaturefy,m,True,0,0,25,48,17,39,2023/09/02,2023/9/02,10:46:21,2,0
1437108724,5986036840,啊？这么拼吗？内测杭州第19届亚运会主媒体中心。说是亚运会最重要的非竞赛场馆一点也不为过，因为这里是本届亚运会媒体记者的大本营，新闻信息的总枢纽，56个场馆的视频信号都要汇集到这里再传播给大家。#你甚至能在亚运会媒体中心里体验推拿##杭州亚运会# 所长比八卜的微博视频 ,亚运会新闻锁定所长报道，辛苦,j加油咱爸咱妈,f,False,-1,0,531,128,2,0,2023/09/02,2023/9/03,20:44:47,0,0
1437108724,1412444322,啊？这么拼吗？内测杭州第19届亚运会主媒体中心。说是亚运会最重要的非竞赛场馆一点也不为过，因为这里是本届亚运会媒体记者的大本营，新闻信息的总枢纽，56个场馆的视频信号都要汇集到这里再传播给大家。#你甚至能在亚运会媒体中心里体验推拿##杭州亚运会# 所长比八卜的微博视频 ,bibabo怎么可以这么帅,端言观朗,m,False,-1,0,203,573,175,15,2023/09/02,2023/9/02,09:44:43,0,1
1687465131,5541885990,#杭州亚运会# 前世界第一桃田贤斗因腰伤复发缺席亚运会，渡边航贵获得替补资格入选参赛大名单。日本队最新参赛大名单男单：奈良冈功大、西本拳太女单：山口茜、大堀彩男双：保木卓朗/小林优吾、古贺辉/斋藤太一女双：松山奈未/志田千阳、福岛由纪/广田彩花混双：渡边勇大/东野有纱、山下恭平/筱谷菜留男团：常山干太、渡边航贵女团：仁平菜月、川上沙惠奈#杨晨大神##羽毛球##奈良冈功大##山口茜##桃田贤斗# [我来了],桃子中国公开赛能参加嘛,堂律联芳,m,False,-1,0,101,125,53,4,2023/09/02,2023/9/04,08:20:22,0,0
