话题链接,楼主ID,话题内容,楼主昵称,楼主性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,发布时间,转发量,评论量,点赞量
https://m.weibo.cn/detail/4941324093754223,6858261438,汪顺#不平凡的九月# #顺流而上# #杭州亚运会# 加油！,Prudddyyy,f,false,-1,0,2066,359,125,9,2023/09/02,00:48:52,0,2,2
https://m.weibo.cn/detail/4941321070182558,5869429642,#杭州亚运会# 加油中国女垒～明天就先行一步啦 ,El20-29,f,false,-1,0,259,141,232,9,2023/09/02,00:36:50,0,4,10
https://m.weibo.cn/detail/4941319531661014,3311187151,#杭州亚运会# 几乎随处可见的杭州第19届亚运会标准，真好！#骑行# 杭州·龙坞茶园 ,胡三万_,m,false,-1,0,203,77,1.1万,8,2023/09/02,00:30:44,0,1,0
https://m.weibo.cn/detail/4941311808897360,7555427911,"【申晴为你播报：今天距离杭州亚运会开幕还有21天！】#小小播报员#  《亚运倒计时》，由我来播报！大家好，我叫申晴，今年8岁了，今天距离杭州亚运会开幕还有21天！全民健身，共享亚运！我等待着你的到来！#《亚运倒计时》由我来播报#  #杭州亚运会#Hello everyone, my name is Shen Qing. I'm 8 years old. Enjoy mass sports, enjoy Asian Games. I’m waiting for you！#全民学英语一起迎亚运# 杭州青少体育频道的微博视频",杭州青少体育频道,m,true,3,50,9154,406,76.8万,0,2023/09/02,00:00:02,1,0,0
https://m.weibo.cn/detail/4941401366200580,5736215511,#亚运会##杭州亚运会# 买了个杭州亚运会吉祥物莲莲钥匙扣，书画动影范樱。#拍摄# 杭州·祥符 ,书画动影,f,false,-1,0,15974,389,201,9,2023/09/02,05:55:55,0,1,0
https://m.weibo.cn/detail/4941417492513140,3085373993,#小水滴看亚运##杭州亚运会#杭州电子科技大学体育馆为亚运会击剑项目比赛场馆，位于杭州市钱塘区，在亚运村东北方向且相距约15公里，含主比赛馆、预赛馆和热身馆。总建筑面积14595平方米，观众席位数4599座。馆内用了15年的5000多个座椅，在改建时进行了拆卸、清洗、封存，保证了原拆原装。服役了6年的LED屏，经拆卸、维护，将继续为杭州亚运会、亚残运会服务。另外，体育馆内地板经拆卸、挑选、适配，组装至学校其他建筑地面。,宁聚体育SYNERGY-SPORTS,f,true,2,50,1472,507,694,20,2023/09/02,07:00:00,0,0,0
https://m.weibo.cn/detail/4941410253406956,2032285177,#杭州亚运会# 即将开幕。#田径# 跑步为什么要#逆时针# 跑步？跑步 AHHA百淬-朗悦君的微博视频 ,AHHA百淬-朗悦君,m,true,0,0,29055,5494,1万,48,2023/09/02,06:31:14,0,1,0
https://m.weibo.cn/detail/4941409243103938,1935970653,#杭州亚运会# 广告费太吓人了，真是贫穷限制想象，单位购买央妈广告宣传，付个赞助费的尾款竟然都好几百万。这尼玛要是换算成整个合同估计好几千万的广告费。 ,沉默事津,m,false,-1,0,10723,983,2540,39,2023/09/02,06:27:13,0,6,2
https://m.weibo.cn/detail/4941432593318681,2443241913,宸萌萌助力亚运会倒计时21天 | 闪耀的力量，无人能挡#杭州亚运会# #助力亚运# 亚运会 ,吉姆蓝杰创意家居,m,true,2,50,193,20,1万,4,2023/09/02,08:00:00,0,0,0
https://m.weibo.cn/detail/4941418633364143,5900008118,#每天早起打卡##杭州亚运会# 大家早上好！周末愉快！ ,强度榜,m,true,0,2,9916,1157,11.2万,4,2023/09/02,07:04:32,5,9,30
https://m.weibo.cn/detail/4941417492513140,3085373993,#小水滴看亚运##杭州亚运会#杭州电子科技大学体育馆为亚运会击剑项目比赛场馆，位于杭州市钱塘区，在亚运村东北方向且相距约15公里，含主比赛馆、预赛馆和热身馆。总建筑面积14595平方米，观众席位数4599座。馆内用了15年的5000多个座椅，在改建时进行了拆卸、清洗、封存，保证了原拆原装。服役了6年的LED屏，经拆卸、维护，将继续为杭州亚运会、亚残运会服务。另外，体育馆内地板经拆卸、挑选、适配，组装至学校其他建筑地面。,宁聚体育SYNERGY-SPORTS,f,true,2,50,1472,507,694,20,2023/09/02,07:00:00,0,0,0
https://m.weibo.cn/detail/4941440142279028,3888237550,#杭州亚运会# 倒计时21天#杭州亚运会官方供应商GIOVANNI VALENTINO# 型动亚运 优雅相伴 ,GIOVANNI_VALENTINO,m,true,2,0,726,67,20.9万,10,2023/09/02,08:30:00,0,1,0
https://m.weibo.cn/detail/4941432593318681,2443241913,宸萌萌助力亚运会倒计时21天 | 闪耀的力量，无人能挡#杭州亚运会# #助力亚运# 亚运会 ,吉姆蓝杰创意家居,m,true,2,50,193,20,1万,4,2023/09/02,08:00:00,0,0,0
https://m.weibo.cn/detail/4941461406877359,3318861733,现在外面的世界已经发展成这样了？杭州开启加速进化模式~ #杭州亚运会# 宁波 子轩健康管理工作室的微博视频 ,子轩健康管理工作室,m,false,-1,0,12162,15,3178,4,2023/09/02,09:54:30,0,1,0
https://m.weibo.cn/detail/4941455976303535,1445017422,#杭州亚运会# 倒计时21天，西湖边的寻常周末，慢悠悠的五公里，遇见：武校少年在操练，会生活的人自带“湖景房” 杭州·西湖风景名胜区 ,行行摄摄2023,m,false,220,0,4989,512,1404,35,2023/09/02,09:32:55,0,1,3
https://m.weibo.cn/detail/4941455875116742,1437108724,啊？这么拼吗？内测杭州第19届亚运会主媒体中心。说是亚运会最重要的非竞赛场馆一点也不为过，因为这里是本届亚运会媒体记者的大本营，新闻信息的总枢纽，56个场馆的视频信号都要汇集到这里再传播给大家。#你甚至能在亚运会媒体中心里体验推拿##杭州亚运会# 所长比八卜的微博视频 ,所长比八卜,m,true,0,0,5184,634,3.7万,38,2023/09/02,09:32:31,0,5,5
https://m.weibo.cn/detail/4941452754551198,1687465131,#杭州亚运会# 前世界第一桃田贤斗因腰伤复发缺席亚运会，渡边航贵获得替补资格入选参赛大名单。日本队最新参赛大名单男单：奈良冈功大、西本拳太女单：山口茜、大堀彩男双：保木卓朗/小林优吾、古贺辉/斋藤太一女双：松山奈未/志田千阳、福岛由纪/广田彩花混双：渡边勇大/东野有纱、山下恭平/筱谷菜留男团：常山干太、渡边航贵女团：仁平菜月、川上沙惠奈#杨晨大神##羽毛球##奈良冈功大##山口茜##桃田贤斗# [我来了],杨晨大神,m,true,0,1,26420,226,332.5万,44,2023/09/02,09:20:07,1,1,20
https://m.weibo.cn/detail/4941474753940277,6519010034,#王一博老板电器代言人# wyb #杭州亚运会# 支持祖國杭州亞運供應商,欣欣向榮202385,f,false,-1,0,34411,1969,515,25,2023/09/02,10:47:32,0,0,0
https://m.weibo.cn/detail/4941466424575327,6195323796,同亚运，共精彩！中国电信亚运大使 #叶诗文# ，邀您共赴 #杭州亚运会# 之约。 链接:网页链接 ,幸运花好月圆_789,m,false,-1,0,4980,441,156,8,2023/09/02,10:14:26,0,1,0
https://m.weibo.cn/detail/4941466272270765,5626337180,我怎么可以买到票啊啊啊#杭州亚运会##羽毛球# ,小橄榄RUGBY,f,false,-1,0,458,476,298,29,2023/09/02,10:13:50,2,5,1
https://m.weibo.cn/detail/4941462892710555,5242861393,通知一下！9月14-10月28 快递管制#杭州亚运会# 加油✊！ ,JOYCOS动漫研究所,f,false,-1,0,926,118,9273,32,2023/09/02,10:00:24,0,1,2
https://m.weibo.cn/detail/4941462795452722,2001627641,#杭州亚运会# 开幕式10万人能同时发视频？外国运动员怎么打电话？答案就在这里！杭州亚运会目前拥有中国移动浙江公司打造的弹性自呼吸（网络容量、覆盖、配置方面实现灵活调整）4G和5G网络，能够在赛时保障现场观众用网不卡顿。除此之外，中国移动浙江公司还为亚运会设立了亚运会通信保障指挥中心，更有5G-Advanced等黑科技全面上场。期待相约杭州，体验这波#亚运黑科技# ！#移起助力 智能亚运#,中国移动,f,true,2,50,49791,647,1148.6万,48,2023/09/02,10:00:00,2616,576,1131
https://m.weibo.cn/detail/4941491811650458,5560085111,期待九月#杭州亚运会# #杭州亚运会秋分开幕#,Steve专属的泳道,m,true,0,2,8767,161,19.2万,4,2023/09/02,11:55:19,0,0,2
https://m.weibo.cn/detail/4941490483364546,3276139400,🌄没赶上日落，那就看一次多变的晚霞夕阳总会落在你身上，你也会快乐一场！杭州免费灯光秀太美啦！晚饭后骑着小毛驴去钱塘江边，吹着晚风散散步，别提有多惬意📍杭州之门（大裤衩子）📍钱江世纪城（晚霞）#杭州旅游攻略##晚霞##杭州亚运会# 杭州·钱江世纪城 今晚的风可真温柔Y的微博视频,未来的全世界,f,false,-1,0,515,270,354,34,2023/09/02,11:50:02,1,2,1
https://m.weibo.cn/detail/4941487052162326,1858791052,#你好亚运 你好舟山# #杭州亚运会# #杭州亚运会# 宝藏攻略必须收藏,_无尽光芒_,m,false,-1,0,232,78,29,9,2023/09/02,11:36:24,0,0,0
https://m.weibo.cn/detail/4941486284866940,7109423285,【印度媒体：国际奥委会不同意俄罗斯参加亚运会】#杭州亚运会# 9月2日，据印度媒体爆料，此前亚奥理事会曾表示可以允许俄罗斯和白俄罗斯最多共500名运动员参加杭州亚运会，但国际奥委会以“技术原因”为理由表示了反对。 ,OlyExpress,m,true,0,1,22862,146,133.2万,14,2023/09/02,11:33:21,3,19,94
https://m.weibo.cn/detail/4941486199669610,1858791052,#你好亚运 你好舟山##杭州亚运会##亚运在身边# 距离杭州亚运会开幕还有21天 ,_无尽光芒_,m,false,-1,0,232,78,29,9,2023/09/02,11:33:01,0,0,0
https://m.weibo.cn/detail/4941481758425979,1589521771,#深睡床垫就选顾家# #杭州爆料# 杭州2022年亚运会#杭州亚运会# 真诚希望能服务好亚运会每一位媒体人员和工作人员！@顾家床垫 @顾家家居 #杭州#,Braverwang,m,false,-1,0,2402,690,3.6万,36,2023/09/02,11:15:21,0,0,0
https://m.weibo.cn/detail/4941481527478032,7153194519,懒虫不懒#杭州亚运会# 因为亚运绿化带都换新 垃圾桶贴新的海报 斑马线连夜画上 很努力了 ,一只饺子呐l,f,true,0,0,5558,853,25.8万,4,2023/09/02,11:14:27,0,1,1
https://m.weibo.cn/detail/4941481069516497,1451785411,最早，杭州只有西湖大道边的凤凰寺这一个清真寺，听说后来搬去其他地方了。设计师是我的一个朋友。但我一直不知道在这里杭州是一个宗教信仰自由，宗教信仰多元，且文化包容的城市，杭州有很多著名的佛教寺庙，但很少人注意其实杭州有不少教堂，不过清真寺好像就在一个。亚运会即将到来，想必来这里参加亚运会的各国朋友，会有不少宗教信仰人士前来拜谒。#杭州亚运会##杭州旅游##杭州清真寺# 杭州·杭州清真寺,楼波音,m,true,0,0,7949,6175,50.6万,48,2023/09/02,11:12:38,0,1,6
https://m.weibo.cn/detail/4941505229491321,6323502973,#杭州亚运会# 想看乒乓球啊啊啊,苏木eleven,f,false,-1,0,4,31,8,4,2023/09/02,12:48:38,0,2,0
https://m.weibo.cn/detail/4941499811496022,1658958533,你好，亚运之城。#杭州亚运会##亚运会##杭州# 杭州·杭州萧山国际机场 ,绝对伏特加,m,true,0,1,36080,448,103.6万,39,2023/09/02,12:27:05,0,2,13
https://m.weibo.cn/detail/4941499345407174,3282976002,#江农微分享##杭州亚运会# 九月底将在杭州举行亚运会为此杭州做了许多准备自动贩卖机里设计了瓶身的矿泉水公交地铁张贴的宣传海报为市容更进一步种植的花草甚至还有亚运会纪念品周边不少网友对杭州如此精细的准备调侃这座城市得了考前焦虑症小伙伴们期待亚运会吗？有准备观看什么赛事吗？快来评论区和团团分享一下吧,江西农大经管团学,f,false,-1,0,6798,739,4220,37,2023/09/02,12:25:15,0,0,1
https://m.weibo.cn/detail/4941521508371278,6226360128,易烊千玺#杭州亚运会# 时间过的好快，雅加达杭州八分钟已经是五年前了 ,易笙染榆,f,false,-1,0,178,153,86,9,2023/09/02,13:53:19,0,5,6
https://m.weibo.cn/detail/4941512809121057,2732404140,西湖印象打卡失败❌争取下次安排上蓝蓝的天 是秋天的味道#杭州亚运会# ,谜底滴车,f,false,-1,0,1319,220,101,13,2023/09/02,13:18:45,0,1,0
