楼主ID,评论者ID,话题内容,评论内容,评论者昵称,评论者性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,评论日期,评论时间,回复量,点赞量
1756561125,6359691341,豁，男篮女篮都在澳洲为亚运热身#杭州亚运会# ,湾湾和棒子都很看重亚运会的，都在集训,推开世界的门men,m,False,-1,0,562,652,199,9,2023/09/01,2023/9/01,11:56:42,4,0
1756561125,5127481130,豁，男篮女篮都在澳洲为亚运热身#杭州亚运会# ,亚洲杯是不是已经掉入B组了？,lonescu,m,False,-1,0,120,776,27,0,2023/09/01,2023/9/01,11:23:11,1,1
1756561125,1998671627,豁，男篮女篮都在澳洲为亚运热身#杭州亚运会# ,福建那个女湾湾，咋没来,早期重度抑郁症患者,m,False,-1,0,942,694,36,34,2023/09/01,2023/9/01,07:56:46,0,3
1756561125,5027228159,豁，男篮女篮都在澳洲为亚运热身#杭州亚运会# ,湾湾男女篮看起来怎么都那么的寒酸样,超人会不会飞_,m,False,-1,0,40,357,64,9,2023/09/01,2023/9/01,08:23:37,0,0
1756561125,7285767308,豁，男篮女篮都在澳洲为亚运热身#杭州亚运会# ,@StarXia澳洲篮球 哥，听其它媒体人说湾区翼龙解散了，消息是否属实啊,YB柔落,m,False,-1,0,5,858,3,1,2023/09/01,2023/9/01,19:14:43,0,0
3173633817,1666717332,"【#亚运在浙里# | 轮到江浙风味了！揭秘运动员菜单[馋]】东坡肉、宋嫂鱼羹、稻香鸡.....#杭州亚运会#运动员餐厅菜单已审核确定，记者陈一麟@Yilin10101 提前打卡运动员餐厅，并从亚组委后勤保障部了解到点心里加入定胜糕，寓意运动员旗开得胜！#亚运村运动员餐厅9月9日开餐运行#Dongpo pork, Sister Song's Fish Broth... Check out the mouthwatering menu for athletes of the upcoming Hangzhou Asian Games. Organizers say the dishes have been designed to cater to different tastes in order to keep participants well-fed. They also hope to present a taste of Zhejiang flavor. CGTN的微博视频",嗯，牛肉东坡肉，多么自轻自贱啦,爱谁谁的号,m,False,-1,0,9759,177,247,27,2023/09/01,2023/9/01,07:47:53,0,0
2001627641,1006336960,【你好，九月】今天是九月第一天，#今年只剩三分之一#，你的年度目标完成了多少呢？星光不问赶路人，时光不负有心人。九月，我们享受收获的喜悦，经历阖家团圆的幸福，还会为#杭州亚运会# 的运动健儿喝彩！2023年余下的三分之一时光，跟移动人一起勇敢前行吧！#秋风里的移动人# #心级服务 移路相伴# ,,襄阳移动,f,True,2,0,26211,136,5236,9,2023/09/01,2023/9/11,09:05:54,0,0
2001627641,2810397384,【你好，九月】今天是九月第一天，#今年只剩三分之一#，你的年度目标完成了多少呢？星光不问赶路人，时光不负有心人。九月，我们享受收获的喜悦，经历阖家团圆的幸福，还会为#杭州亚运会# 的运动健儿喝彩！2023年余下的三分之一时光，跟移动人一起勇敢前行吧！#秋风里的移动人# #心级服务 移路相伴# ,,十堰移动官方微博,m,True,2,0,14059,142,1176,15,2023/09/01,2023/9/04,15:35:33,0,0
2001627641,2499225982,【你好，九月】今天是九月第一天，#今年只剩三分之一#，你的年度目标完成了多少呢？星光不问赶路人，时光不负有心人。九月，我们享受收获的喜悦，经历阖家团圆的幸福，还会为#杭州亚运会# 的运动健儿喝彩！2023年余下的三分之一时光，跟移动人一起勇敢前行吧！#秋风里的移动人# #心级服务 移路相伴# ,,黄石移动官方微博,m,True,2,0,38001,192,2.3万,31,2023/09/01,2023/9/04,01:23:36,0,0
2001627641,1976048673,【你好，九月】今天是九月第一天，#今年只剩三分之一#，你的年度目标完成了多少呢？星光不问赶路人，时光不负有心人。九月，我们享受收获的喜悦，经历阖家团圆的幸福，还会为#杭州亚运会# 的运动健儿喝彩！2023年余下的三分之一时光，跟移动人一起勇敢前行吧！#秋风里的移动人# #心级服务 移路相伴# ,你好，九月,中国移动广东公司,f,True,2,0,24197,380,154.2万,43,2023/09/01,2023/9/01,11:09:40,0,0
